"Data Hora","BP1 Bomb Contador-Acc 1","BP1 Grav Contador-Acc 1"
"01/01/2023 00:00",12881458,1601575
"02/01/2023 00:00",12882137,1601740.9
"03/01/2023 00:00",12882866,1601895.1
"04/01/2023 00:00",12883628,1602040.6
"05/01/2023 00:00",12884505,1602192.8
"06/01/2023 00:00",12885402,1602343.6
"07/01/2023 00:00",12886314,1602511.1
"08/01/2023 00:00",12887115,1602645
"09/01/2023 00:00",12887852,1602789.9
"10/01/2023 00:00",12888657,1602937
"11/01/2023 00:00",12889453,1603113
"12/01/2023 00:00",12890334,1603273.6
"13/01/2023 00:00",12891149,1603430.6
"14/01/2023 00:00",12892120,1603656.3
"15/01/2023 00:00",12893176,1603856.9
"16/01/2023 00:00",12894411,1604045.9
"17/01/2023 00:00",12895812,1604227
"18/01/2023 00:00",12896924,1604370.8
"19/01/2023 00:00",12898176,1604523.3
"20/01/2023 00:00",12899330,1604695.6
"21/01/2023 00:00",12900730,1604856
"22/01/2023 00:00",12902240,1605024.1
"23/01/2023 00:00",12903720,1605191.4
"24/01/2023 00:00",12905465,1605366.5
"25/01/2023 00:00",12907255,1605576
"26/01/2023 00:00",12909145,1605768.4
"27/01/2023 00:00",12910842,1605960.6
"28/01/2023 00:00",12912684,1606160.5
"29/01/2023 00:00",12914424,1606326.8
"30/01/2023 00:00",12916115,1606514.1
"31/01/2023 00:00",12918105,1606706.5
"01/02/2023 00:00",12919872,1606902.5
"02/02/2023 00:00",12921798,1607097.4
"03/02/2023 00:00",12923612,1607311.3
"04/02/2023 00:00",12925655,1607510.5
"05/02/2023 00:00",12927398,1607700
"06/02/2023 00:00",12929240,1607925.1
"07/02/2023 00:00",12931276,1608136.3
"08/02/2023 00:00",12933003,1608373.1
"09/02/2023 00:00",12934472,1608561.4
"10/02/2023 00:00",12935459,1608711.9
"11/02/2023 00:00",12936499,1608865.5
"12/02/2023 00:00",12937551,1609012
"13/02/2023 00:00",12938818,1609187.3
"14/02/2023 00:00",12940374,1609368.3
"15/02/2023 00:00",12941762,1609560.1
"16/02/2023 00:00",12942893,1609706.5
"17/02/2023 00:00",12944051,1609873.5
"18/02/2023 00:00",12945452,1610065.3
"19/02/2023 00:00",12946732,1610232.1
"20/02/2023 00:00",12948071,1610385.8
"21/02/2023 00:00",12949608,1610553.5
"22/02/2023 00:00",12951039,1610737.3
"23/02/2023 00:00",12952644,1610914.3
"24/02/2023 00:00",12954191,1611106
"25/02/2023 00:00",12955983,1611315.8
"26/02/2023 00:00",12957121,1611518.8
"27/02/2023 00:00",12958285,1611697.8
"28/02/2023 00:00",12959978,1611892.3
"01/03/2023 00:00",12961682,1612115.5
"02/03/2023 00:00",12963619,1612318.5
"03/03/2023 00:00",12965414,1612521.6
"04/03/2023 00:00",12967360,1612716
"05/03/2023 00:00",12969039,1612881.8
