hour;grav95;gravMed;press95;pressMed;zmc8;zmc7
0;28.25;22.75;288;260;259;29
1;31.375;29.875;309;296;278;31
2;48.75;36;272;265;245;27
3;41.75;40.5;271;244;244;27
4;38;33.875;266;243;239;27
5;38;34.625;250;239;225;25
6;32.75;29.375;306;278;275;31
7;39;30.375;294;262;265;29
8;29.25;27.5;196;187;176;20
9;25.75;21;139;121;125;14
10;24.375;22.375;129;116;116;13
11;23.5;19.5;141;115;127;14
12;21.375;13.625;124;100;112;12
13;19;11.625;87;81;78;9
14;21.25;17.125;91;81;82;9
15;19.25;12.25;142;78;128;14
16;17.625;14;99;75;89;10
17;18;15;86;73;77;9
18;19.5;16.875;81;75;73;8
19;19.5;19;104;104;94;10
20;21.125;20;119;111;107;12
21;23;18;161;151;145;16
22;22.875;17.125;219;186;197;22
23;31.125;22.375;281;250;253;28
